"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","renders without crashing on an empty project list","ProjectsListPage","2026-07-10","passed","2026-07-10","","","",""
"","88","renders the empty state when no flaky tests exist","FlakyTestsPage","2026-07-10","passed","2026-07-10","","","",""
"","179","renders without crashing on an empty run list","RunHistoryPage","2026-07-10","passed","2026-07-10","","","",""
"","59","renders the empty-window state when no trend data exists","TrendsPage","2026-07-10","passed","2026-07-10","","","",""
"","70","renders the empty state when no patterns exist","FailurePatternsPage","2026-07-10","passed","2026-07-10","","","",""
"","29","renders the empty-runs state when the project has no runs","ProjectDashboardPage","2026-07-10","passed","2026-07-10","","","",""
"","279","renders the metadata card and Test Cases section","RunDetailPage","2026-07-10","passed","2026-07-10","","","",""
